pipedrive_org_id,pipedrive_org_name,source_name,category,original_url,normalized_url,url_cleanup_reason
1440,Pan American Collision Center,Crash Champions Collision Repair Burke North,name_review,https://crashchampions.com/locations/crash-champions-burke-north,crashchampions.com/locations/crash-champions-burke-north,scheme-www-or-trailing-slash-normalization
1446,Patton Brothers Body & Frame,Joe Hudson's Collision Center,name_review,https://jhcc.com/locations/auto-body-shop-athens-ga/,jhcc.com/locations/auto-body-shop-athens-ga,scheme-www-or-trailing-slash-normalization
1449,PDM Collision Repair Center,"Paints, Dents & More (PDM Collision Repair Center)",name_review,http://pdmcollision.com/,pdmcollision.com,scheme-www-or-trailing-slash-normalization
1451,Performance Auto Body,Gerber Collision & Glass,name_review,https://www.gerbercollision.com/locations/imperial-mo%3Futm_source%3DSEO_Local%26utm_medium%3DSEO_Local_Snack_Pack%26utm_campaign%3DMO%26utm_content%3DImperial,gerbercollision.com/locations/imperial-mo%3futm_source%3dseo_local%26utm_medium%3dseo_local_snack_pack%26utm_campaign%3dmo%26utm_content%3dimperial,tracking-or-encoded-url
1465,Plan B Autobody,Plan B Autobody,existing_conflict,https://www.planbautobody.com/%3Futm_campaign%3Dgmb,planbautobody.com/%3futm_campaign%3dgmb,tracking-or-encoded-url
1470,Precision Collision Of Lynn Haven,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-lynn-haven/,classiccollision.com/locations/classic-collision-lynn-haven,scheme-www-or-trailing-slash-normalization
1473,Prestige Auto Body,Prestige Auto Body,existing_conflict,https://www.vivecollision.com/shop/prestigeautobodynh/,vivecollision.com/shop/prestigeautobodynh,scheme-www-or-trailing-slash-normalization
1474,Classic Collision Goleta,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-goleta/,classiccollision.com/locations/classic-collision-goleta,scheme-www-or-trailing-slash-normalization
1476,Pro Body Shop,Crash Champions Collision Repair Thomasville,name_review,https://crashchampions.com/locations/crash-champions-thomasville,crashchampions.com/locations/crash-champions-thomasville,scheme-www-or-trailing-slash-normalization
1500,Rick'S Auto Body,Rick's Auto Body,name_review,http://www.ricksauto-body.com/,ricksauto-body.com,scheme-www-or-trailing-slash-normalization
1520,Rowley's Accident & Hail Repair,CARSTAR Axiom Collision Repair - Loveland,name_review,https://www.carstar.com/locations/co/loveland-15778/,carstar.com/locations/co/loveland-15778,scheme-www-or-trailing-slash-normalization
1537,Suburban Auto Body,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-little-canada/,classiccollision.com/locations/classic-collision-little-canada,scheme-www-or-trailing-slash-normalization
1547,Superior Collision,Superior Collision Inc,name_review,https://lomyu.me/superior-collision-inc-555706-us,lomyu.me/superior-collision-inc-555706-us,scheme-www-or-trailing-slash-normalization
1551,Scottsbluff Body & Paint,Scottsbluff Body & Paint,needs_review_fill,https://scottsbluffbodyandpaint.com/,scottsbluffbodyandpaint.com,scheme-www-or-trailing-slash-normalization
1557,Selecta Auto Body,Selecta Auto Body,existing_conflict,https://www.selectaautobody.com/,selectaautobody.com,scheme-www-or-trailing-slash-normalization
1568,Sharp Auto Body,Sharp Auto Body,existing_conflict,http://sharpautobody.com/%3Futm_campaign%3Dgmb,sharpautobody.com/%3futm_campaign%3dgmb,tracking-or-encoded-url
1626,Universal Collision - West,Gerber Collision & Glass,name_review,https://www.gerbercollision.com/locations/tallahassee-2751-w-tennessee-st-fl%3Futm_source%3DSEO_Local%26utm_medium%3DSEO_Local_Snack_Pack%26utm_campaign%3DFL%26utm_content%3DTallahassee-Tennessee,gerbercollision.com/locations/tallahassee-2751-w-tennessee-st-fl%3futm_source%3dseo_local%26utm_medium%3dseo_local_snack_pack%26utm_campaign%3dfl%26utm_content%3dtallahassee-tennessee,tracking-or-encoded-url
1640,Wallace Collision Center,Wallace Collision Center,existing_conflict,https://wallacecollisionrepair.com/%3Fy_source%3D1_MTU2Mzg3NzItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,wallacecollisionrepair.com/%3fy_source%3d1_mtu2mzg3nzitnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1646,Weaver's Auto Center,Crash Champions Collision Repair Shawnee,name_review,https://crashchampions.com/locations/crash-champions-shawnee,crashchampions.com/locations/crash-champions-shawnee,scheme-www-or-trailing-slash-normalization
2456,Rife's Auto Body,Rife's Auto Body - Westerville,name_review,https://www.rifesautobody.com/,rifesautobody.com,scheme-www-or-trailing-slash-normalization
2464,Don Juan's Certified Collision Care,Crash Champions Collision Repair Santa Fe Rufina,name_review,https://crashchampions.com/locations/crash-champions-santa-fe-rufina,crashchampions.com/locations/crash-champions-santa-fe-rufina,scheme-www-or-trailing-slash-normalization
5845,A.T.H,Caliber Collision,name_review,https://www.caliber.com/find-a-location/mauston%3Futm_source%3Dgoogle%26utm_medium%3Dgbp-profile%26utm_campaign%3Dwebform-GBPwebsite%26utm_content%3D%26utm_term%3D%26utm_id%3D0966,caliber.com/find-a-location/mauston%3futm_source%3dgoogle%26utm_medium%3dgbp-profile%26utm_campaign%3dwebform-gbpwebsite%26utm_content%3d%26utm_term%3d%26utm_id%3d0966,tracking-or-encoded-url
5846,Ball Body Shop,Ball Body Shop,existing_conflict,https://bstreetcollision.com/collision-repair/middleton-wi/,bstreetcollision.com/collision-repair/middleton-wi,scheme-www-or-trailing-slash-normalization
5854,"Straight Line Collision, Inc.",Straightline Collision,name_review,https://www.straightlinecollisioncenter.com/,straightlinecollisioncenter.com,scheme-www-or-trailing-slash-normalization
5874,M & M Auto Body,M & M Auto Body,existing_conflict,http://www.mmautobody.com/,mmautobody.com,scheme-www-or-trailing-slash-normalization
5875,Marklein Auto Body,"Marklein Auto Body, Inc.",name_review,https://www.carwise.com/auto-body-shops/marklein-auto-body-dodgeville-wi-53533/475916,carwise.com/auto-body-shops/marklein-auto-body-dodgeville-wi-53533/475916,scheme-www-or-trailing-slash-normalization
5883,S/S RESEARCH,S&S Automotive Service Center,name_review,https://ssautomotive.pro/,ssautomotive.pro,scheme-www-or-trailing-slash-normalization
5888,State Auto Body,State Auto Body,needs_review_fill,http://stateautobodyri.com/,stateautobodyri.com,scheme-www-or-trailing-slash-normalization
5903,Bocker Auto Group,Bocker Chevrolet GMC and Used Cars,name_review,https://www.bockerautogroup.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_sales_websitelink,bockerautogroup.com/%3futm_source%3dgoogle%26utm_medium%3dorganic%26utm_campaign%3dgbp_sales_websitelink,tracking-or-encoded-url
5907,A & R  Autobody,CDE Collision Centers - Washington St.,name_review,https://cdecollisioncenters.com/,cdecollisioncenters.com,scheme-www-or-trailing-slash-normalization
5908,Classic Collision Center,Classic Collision Center,needs_review_fill,https://www.classic-collision.com/,classic-collision.com,scheme-www-or-trailing-slash-normalization
5913,Tom & Eds,Tom & Ed's Autobody of Schererville,name_review,https://www.tomandeds.com/locations/1225-birch-drive-schererville-indiana-46375%3Fy_source%3D1_MTA4OTA4MjQ1My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,tomandeds.com/locations/1225-birch-drive-schererville-indiana-46375%3fy_source%3d1_mta4ota4mjq1my03mtutbg9jyxrpb24ud2vic2l0zq%253d%253d,tracking-or-encoded-url
5914,Supreme Body Works,Supreme Bodyworks,name_review,http://supremebodyworks.net/,supremebodyworks.net,scheme-www-or-trailing-slash-normalization
